#Chromosome,GapStart,GapStop,RegionID,MeanGapCoverage,RegionInterval,GapInterval
chr1,955542,955763,AGRN.chr1.955552.955753,2.4,chr1:955542-955763,chr1:955542-955763
chr1,957840,957848,AGRN.chr1.957580.957842,18.7,chr1:957570-957852,chr1:957840-957848
chr1,957852,957852,AGRN.chr1.957580.957842,19.0,chr1:957570-957852,chr1:957852-957852
chr1,976034,976077,AGRN.chr1.976044.976260,16.4,chr1:976034-976270,chr1:976034-976077
chr1,976212,976270,AGRN.chr1.976044.976260,13.9,chr1:976034-976270,chr1:976212-976270
chr1,976542,976787,AGRN.chr1.976552.976777,4.1,chr1:976542-976787,chr1:976542-976787
chr1,976847,976875,AGRN.chr1.976857.977082,11.9,chr1:976847-977092,chr1:976847-976875
chr1,977019,977092,AGRN.chr1.976857.977082,16.0,chr1:976847-977092,chr1:977019-977092
chr1,977483,977552,AGRN.chr1.977335.977542,17.3,chr1:977325-977552,chr1:977483-977552
chr1,980530,980572,AGRN.chr1.980540.980657,11.0,chr1:980530-980667,chr1:980530-980572
chr1,980728,980913,AGRN.chr1.980738.980903,12.9,chr1:980728-980913,chr1:980728-980913
chr1,981647,981655,AGRN.chr1.981539.981645,18.8,chr1:981529-981655,chr1:981647-981655
chr1,983218,983224,AGRN.chr1.983155.983275,17.7,chr1:983145-983285,chr1:983218-983224
chr1,983232,983279,AGRN.chr1.983155.983275,17.5,chr1:983145-983285,chr1:983232-983279
chr1,983668,983755,AGRN.chr1.983391.983745,13.9,chr1:983381-983755,chr1:983668-983755
chr1,984236,984290,AGRN.chr1.984246.984439,11.3,chr1:984236-984449,chr1:984236-984290
chr1,984605,984625,AGRN.chr1.984615.984831,14.9,chr1:984605-984841,chr1:984605-984625
chr1,985426,985427,AGRN.chr1.985282.985417,18.0,chr1:985272-985427,chr1:985426-985427
chr1,985796,985863,AGRN.chr1.985806.985971,15.9,chr1:985796-985981,chr1:985796-985863
chr1,985874,985895,AGRN.chr1.985806.985971,18.3,chr1:985796-985981,chr1:985874-985895
chr1,985900,985901,AGRN.chr1.985806.985971,19.0,chr1:985796-985981,chr1:985900-985901
chr1,985925,985942,AGRN.chr1.985806.985971,19.0,chr1:985796-985981,chr1:985925-985942
chr1,985947,985950,AGRN.chr1.985806.985971,19.0,chr1:985796-985981,chr1:985947-985950
chr1,985957,985981,AGRN.chr1.985806.985971,18.1,chr1:985796-985981,chr1:985957-985981
chr1,986095,986227,AGRN.chr1.986105.986217,12.6,chr1:986095-986227,chr1:986095-986227
chr1,986936,986979,AGRN.chr1.986832.987025,16.6,chr1:986822-987035,chr1:986936-986979
chr1,986989,986989,AGRN.chr1.986832.987025,19.0,chr1:986822-987035,chr1:986989-986989
chr1,986994,987001,AGRN.chr1.986832.987025,18.6,chr1:986822-987035,chr1:986994-987001
chr1,987016,987016,AGRN.chr1.986832.987025,19.0,chr1:986822-987035,chr1:987016-987016
chr1,989122,989143,AGRN.chr1.989132.989357,16.4,chr1:989122-989367,chr1:989122-989143
chr1,989346,989362,AGRN.chr1.989132.989357,17.4,chr1:989122-989367,chr1:989346-989362
chr1,989366,989367,AGRN.chr1.989132.989357,19.0,chr1:989122-989367,chr1:989366-989367
chr1,990193,990250,AGRN.chr1.990203.990361,14.1,chr1:990193-990371,chr1:990193-990250
chr1,990266,990278,AGRN.chr1.990203.990361,18.7,chr1:990193-990371,chr1:990266-990278
chr1,1146927,1147015,TNFRSF4.chr1.1146938.1147005,10.2,chr1:1146927-1147015,chr1:1146927-1147015
chr1,1147073,1147222,TNFRSF4.chr1.1147084.1147212,6.8,chr1:1147073-1147222,chr1:1147073-1147222
chr1,1147311,1147421,TNFRSF4.chr1.1147322.1147518,10.7,chr1:1147311-1147528,chr1:1147311-1147421
chr1,1148007,1148094,TNFRSF4.chr1.1148018.1148084,2.0,chr1:1148007-1148094,chr1:1148007-1148094
chr1,1148361,1148483,TNFRSF4.chr1.1148372.1148473,10.0,chr1:1148361-1148483,chr1:1148361-1148483
chr1,1149049,1149175,TNFRSF4.chr1.1149043.1149165,8.2,chr1:1149032-1149175,chr1:1149049-1149175
chr1,1167648,1168212,B3GALT6.chr1.1167659.1168645,3.7,chr1:1167648-1168655,chr1:1167648-1168212
chr1,1168598,1168655,B3GALT6.chr1.1167659.1168645,11.9,chr1:1167648-1168655,chr1:1168598-1168655
chr1,1266715,1266916,TAS1R3.chr1.1266726.1266916,8.4,chr1:1266715-1266926,chr1:1266715-1266916
chr1,1266921,1266921,TAS1R3.chr1.1266726.1266916,19.0,chr1:1266715-1266926,chr1:1266921-1266921
chr1,1267642,1267681,TAS1R3.chr1.1267404.1268186,16.9,chr1:1267393-1268196,chr1:1267642-1267681
chr1,1634508,1634563,CDK11A.chr1.1634519.1634708,15.9,chr1:1634508-1634718,chr1:1634508-1634563
chr1,1634568,1634568,CDK11A.chr1.1634519.1634708,19.0,chr1:1634508-1634718,chr1:1634568-1634568
chr1,1634576,1634578,CDK11A.chr1.1634519.1634708,19.0,chr1:1634508-1634718,chr1:1634576-1634578
chr1,1634588,1634588,CDK11A.chr1.1634519.1634708,19.0,chr1:1634508-1634718,chr1:1634588-1634588
